epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1788.42,1.04922,1.15207,1.0302,1.26342,0,0.62836,0.60526,0.63948,0.40944,0.65955,0.36364,0.40175,0.1501,1.37152,1.17678,1.33918,1.37742,0,0.00184588,0.00184588,0.00184588
29,1843.85,1.03665,1.14632,1.0312,1.26771,0,0.59993,0.61722,0.62004,0.40279,0.5879,0.40191,0.43387,0.15611,1.38103,1.12823,1.3314,1.37911,0,0.00183459,0.00183459,0.00183459
30,1899.38,1.02685,1.16905,0.99319,1.25519,0,0.63665,0.62038,0.62876,0.39649,0.53373,0.46172,0.435,0.15444,1.37099,1.23914,1.33492,1.36432,0,0.00182294,0.00182294,0.00182294
31,1954.88,1.02464,1.14365,0.97775,1.24032,0,0.63064,0.64593,0.65769,0.42294,0.54437,0.52153,0.49131,0.17048,1.33988,1.14831,1.23268,1.34274,0,0.00181093,0.00181093,0.00181093
32,2018.9,1.00133,1.1473,0.96861,1.23669,0,0.61166,0.62927,0.62485,0.38551,0.59191,0.47368,0.47039,0.16328,1.38371,1.15957,1.31887,1.39506,0,0.00179856,0.00179856,0.00179856
33,2074.36,1.01151,1.13292,0.97712,1.23515,0,0.62603,0.55742,0.6252,0.40585,0.66661,0.39225,0.43015,0.15447,1.33894,1.14461,1.30758,1.36103,0,0.00178586,0.00178586,0.00178586
34,2129.92,1.01554,1.13653,0.98954,1.24641,0,0.70523,0.60672,0.66521,0.44215,0.59678,0.51342,0.49394,0.16941,1.29381,1.13514,1.21814,1.28936,0,0.00177281,0.00177281,0.00177281
35,2185.31,0.98385,1.15574,0.96344,1.22456,0,0.62642,0.61962,0.63635,0.40157,0.58294,0.50718,0.48435,0.16867,1.34467,1.14023,1.26343,1.37185,0,0.00175943,0.00175943,0.00175943
36,2240.97,0.98736,1.14761,0.97449,1.24185,0,0.65679,0.62919,0.65255,0.4285,0.53133,0.45565,0.42259,0.15572,1.27094,1.15234,1.2419,1.31646,0,0.00174571,0.00174571,0.00174571
37,2304.55,0.96257,1.19041,0.96462,1.21485,0,0.64806,0.61722,0.64859,0.42996,0.53401,0.48086,0.44436,0.16009,1.28298,1.11654,1.23133,1.30699,0,0.00173168,0.00173168,0.00173168
38,2359.98,0.93838,1.14203,0.9289,1.19058,0,0.68626,0.62272,0.66849,0.43334,0.64527,0.5135,0.52484,0.17822,1.28766,1.11166,1.19197,1.34029,0,0.00171733,0.00171733,0.00171733
39,2415.33,0.98393,1.11121,0.91664,1.22849,0,0.67091,0.61244,0.65965,0.42801,0.56166,0.48565,0.45086,0.15417,1.29263,1.16057,1.25926,1.3081,0,0.00170267,0.00170267,0.00170267
40,2470.96,1.00566,1.1635,0.97145,1.23614,0,0.62883,0.58134,0.64146,0.41146,0.53226,0.50092,0.47752,0.16501,1.30577,1.14669,1.2672,1.31458,0,0.0016877,0.0016877,0.0016877
41,2526.19,0.95708,1.13466,0.90937,1.21424,0,0.7283,0.56938,0.65231,0.41382,0.68907,0.44534,0.51277,0.17884,1.34584,1.12169,1.23986,1.32024,0,0.00167244,0.00167244,0.00167244
42,2581.55,0.93886,1.09722,0.9147,1.20391,0,0.6624,0.59091,0.62802,0.40959,0.52437,0.49585,0.45374,0.15426,1.32782,1.1475,1.27155,1.3551,0,0.00165689,0.00165689,0.00165689
43,2647.98,0.94928,1.132,0.92731,1.20646,0,0.65788,0.60726,0.66881,0.44736,0.61129,0.51435,0.51247,0.19639,1.28045,1.1088,1.20182,1.29089,0,0.00164105,0.00164105,0.00164105
44,2706.75,0.95571,1.13157,0.91269,1.19834,0,0.65685,0.64112,0.66707,0.42555,0.57144,0.5072,0.48173,0.16689,1.33419,1.14329,1.21172,1.32525,0,0.00162494,0.00162494,0.00162494
45,2762.78,0.953,1.10904,0.91904,1.20859,0,0.73395,0.60048,0.67178,0.43642,0.64548,0.51435,0.51053,0.17409,1.26044,1.12385,1.22282,1.2856,0,0.00160855,0.00160855,0.00160855
46,2818.36,0.92906,1.13536,0.90262,1.18866,0,0.65576,0.61525,0.66901,0.43433,0.62312,0.47466,0.49412,0.1769,1.30225,1.1322,1.2274,1.31745,0,0.00159191,0.00159191,0.00159191
47,2873.73,0.93025,1.10909,0.89149,1.19323,0,0.68227,0.60287,0.65088,0.42472,0.63021,0.50149,0.48968,0.16915,1.2912,1.12179,1.23333,1.32346,0,0.00157501,0.00157501,0.00157501
48,2929.19,0.91834,1.09992,0.89231,1.17959,0,0.72558,0.62201,0.68017,0.44739,0.62739,0.49522,0.50444,0.17923,1.24132,1.09091,1.16585,1.27118,0,0.00155786,0.00155786,0.00155786
49,2985.56,0.93626,1.12931,0.88953,1.19374,0,0.68392,0.6244,0.66824,0.44323,0.61872,0.49043,0.48969,0.17439,1.24372,1.14981,1.18727,1.29999,0,0.00154047,0.00154047,0.00154047
50,3040.9,0.92277,1.11661,0.87981,1.18623,0,0.72997,0.57895,0.67043,0.44902,0.66698,0.48395,0.51965,0.17847,1.21402,1.12327,1.17165,1.26581,0,0.00152285,0.00152285,0.00152285
