epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1125.81,0.99352,1.23114,0.96262,1.08623,0,0.76367,0.6244,0.67745,0.47162,0.70162,0.5622,0.56293,0.22178,1.10993,1.1118,1.20491,1.11161,0,0.0014654,0.0014654,0.0014654
29,1145.12,0.97332,1.19761,0.93508,1.09833,0,0.74376,0.65274,0.6948,0.49733,0.68973,0.54067,0.52379,0.2107,1.02827,1.14708,1.17277,1.09717,0,0.0014456,0.0014456,0.0014456
30,1164.64,0.96941,1.19769,0.94068,1.08084,0,0.68837,0.62919,0.65982,0.47947,0.61264,0.5,0.48096,0.1892,1.04895,1.21108,1.20688,1.11852,0,0.0014258,0.0014258,0.0014258
31,1184.44,0.93439,1.2219,0.91713,1.07117,0,0.73976,0.64593,0.68198,0.49573,0.69127,0.5311,0.52948,0.20483,1.03059,1.154,1.1583,1.10807,0,0.001406,0.001406,0.001406
32,1203.69,0.92234,1.19527,0.90306,1.0644,0,0.73814,0.65789,0.70624,0.51465,0.6756,0.57416,0.56589,0.21147,1.0245,1.10639,1.0847,1.08925,0,0.0013862,0.0013862,0.0013862
33,1218.99,0.9524,1.19112,0.91866,1.07456,0,0.72936,0.68341,0.70485,0.51453,0.63214,0.58852,0.57302,0.2193,0.95893,1.12658,1.08621,1.07837,0,0.0013664,0.0013664,0.0013664
34,1234.21,0.93451,1.19378,0.89505,1.07939,0,0.81312,0.63636,0.736,0.54053,0.72712,0.55263,0.57885,0.21837,0.98215,1.09831,1.04469,1.08915,0,0.0013466,0.0013466,0.0013466
35,1249.48,0.92718,1.18764,0.8899,1.07014,0,0.7462,0.66117,0.68714,0.50532,0.68664,0.56938,0.55279,0.20708,1.00101,1.13188,1.1332,1.07738,0,0.0013268,0.0013268,0.0013268
36,1264.7,0.93718,1.16584,0.90919,1.06991,0,0.76177,0.67703,0.71456,0.52471,0.69104,0.55742,0.55762,0.20539,1.00198,1.14168,1.05549,1.08171,0,0.001307,0.001307,0.001307
37,1279.9,0.91603,1.21653,0.87347,1.05974,0,0.71138,0.65072,0.6865,0.50688,0.63877,0.5933,0.5762,0.2213,1.00978,1.10112,1.08625,1.09214,0,0.0012872,0.0012872,0.0012872
38,1295.19,0.92516,1.1774,0.89513,1.07388,0,0.75536,0.67217,0.71682,0.52682,0.7199,0.58852,0.60276,0.22496,0.97927,1.10686,1.07714,1.10326,0,0.0012674,0.0012674,0.0012674
39,1310.42,0.9409,1.19022,0.905,1.08257,0,0.81706,0.64107,0.72063,0.53257,0.72524,0.55742,0.58742,0.22657,0.96708,1.12985,1.05097,1.06401,0,0.0012476,0.0012476,0.0012476
40,1325.75,0.93007,1.19114,0.91349,1.07729,0,0.77869,0.60287,0.6904,0.5012,0.73309,0.50718,0.54379,0.2047,1.03037,1.12542,1.12035,1.08259,0,0.0012278,0.0012278,0.0012278
41,1341.05,0.91428,1.18901,0.88519,1.06322,0,0.77951,0.69355,0.72834,0.54715,0.66702,0.57656,0.55461,0.20776,0.93379,1.12057,1.02971,1.06771,0,0.001208,0.001208,0.001208
42,1356.25,0.92789,1.19667,0.87592,1.06293,0,0.81712,0.66507,0.73319,0.55614,0.74132,0.5759,0.61322,0.23426,0.92086,1.10815,1.01781,1.03769,0,0.0011882,0.0011882,0.0011882
43,1371.5,0.89918,1.15384,0.85337,1.06368,0,0.81988,0.62201,0.72781,0.5304,0.74485,0.56459,0.61277,0.23118,0.98942,1.13461,1.0436,1.05634,0,0.0011684,0.0011684,0.0011684
44,1386.71,0.90268,1.17936,0.88523,1.05156,0,0.72938,0.65789,0.68193,0.51473,0.60299,0.54545,0.49589,0.19843,0.99761,1.28058,1.11628,1.11087,0,0.0011486,0.0011486,0.0011486
45,1401.87,0.88807,1.16486,0.82425,1.04599,0,0.78141,0.66268,0.70642,0.51803,0.72263,0.56459,0.55924,0.21745,0.96344,1.14511,1.07852,1.06262,0,0.0011288,0.0011288,0.0011288
46,1416.98,0.87257,1.14873,0.85846,1.04424,0,0.78482,0.63876,0.70792,0.52695,0.70732,0.53828,0.55325,0.22109,0.98228,1.11319,1.06149,1.07375,0,0.001109,0.001109,0.001109
47,1432.36,0.88661,1.17075,0.84982,1.04645,0,0.85018,0.63805,0.75181,0.56599,0.78555,0.56961,0.64913,0.25019,0.91219,1.07182,0.98238,1.04005,0,0.0010892,0.0010892,0.0010892
48,1447.66,0.87396,1.16921,0.84084,1.04673,0,0.83498,0.64158,0.73075,0.55347,0.71779,0.59022,0.60379,0.22487,0.9349,1.09691,1.00234,1.0666,0,0.0010694,0.0010694,0.0010694
49,1462.97,0.88975,1.16725,0.84657,1.05562,0,0.77745,0.66029,0.71924,0.54994,0.70216,0.5922,0.58998,0.24136,0.9267,1.07562,1.01363,1.05206,0,0.0010496,0.0010496,0.0010496
50,1478.19,0.86874,1.17829,0.82295,1.03974,0,0.77422,0.68909,0.72897,0.5539,0.70554,0.5933,0.60647,0.22717,0.91712,1.11478,1.00349,1.04051,0,0.0010298,0.0010298,0.0010298
51,1493.35,0.87564,1.16458,0.82967,1.04537,0,0.75697,0.69617,0.72104,0.54881,0.76836,0.57136,0.61375,0.24116,0.9029,1.07809,1.01949,1.02182,0,0.00101,0.00101,0.00101
52,1508.71,0.87206,1.13767,0.83847,1.05238,0,0.79652,0.64833,0.73849,0.55463,0.7685,0.54004,0.57865,0.24386,0.92163,1.1153,1.0432,1.03148,0,0.0009902,0.0009902,0.0009902
53,1523.99,0.88503,1.15522,0.85215,1.04989,0,0.80277,0.68421,0.7374,0.54323,0.72245,0.57895,0.60574,0.23296,0.95982,1.13707,1.00622,1.06962,0,0.0009704,0.0009704,0.0009704
54,1539.29,0.8719,1.18274,0.8152,1.04662,0,0.774,0.66986,0.72794,0.53939,0.70475,0.58817,0.58876,0.23521,0.94681,1.10908,0.99462,1.0355,0,0.0009506,0.0009506,0.0009506
55,1554.52,0.85406,1.21535,0.81387,1.03232,0,0.73381,0.66986,0.73615,0.54605,0.63375,0.54067,0.53852,0.21247,0.92897,1.15229,1.02191,1.03709,0,0.0009308,0.0009308,0.0009308
56,1569.7,0.83666,1.14096,0.79618,1.03242,0,0.80329,0.69139,0.75127,0.56353,0.72325,0.56894,0.59329,0.2352,0.90856,1.08673,0.97627,1.02952,0,0.000911,0.000911,0.000911
57,1584.91,0.84195,1.12264,0.80948,1.02845,0,0.78605,0.668,0.7352,0.5607,0.73239,0.54545,0.57616,0.2335,0.91973,1.12951,1.00625,1.03744,0,0.0008912,0.0008912,0.0008912
58,1600.22,0.84892,1.13802,0.79556,1.0343,0,0.79575,0.68972,0.75813,0.56746,0.78274,0.57416,0.62723,0.23636,0.89893,1.10269,0.96668,1.01601,0,0.0008714,0.0008714,0.0008714
